step,max_d_obs,max_d_action,d_root_z,d_root_x,z_isaac,z_mujoco
0,1.9372e-06,8.6427e-07,0.00017399,0.00012801,0.7974,0.7972
1,7.2573,0.22118,0.00095201,0.00056635,0.7915,0.7905
2,7.2573,0.54674,0.0022274,9.1644e-05,0.7882,0.7860
3,8.454,0.58816,0.0013024,6.796e-05,0.7869,0.7856
4,8.454,0.55795,0.00034869,0.0011029,0.7868,0.7865
5,8.454,1.1541,7.4685e-05,0.0012018,0.7870,0.7871
6,8.454,1.6715,0.00018388,3.6648e-05,0.7871,0.7872
7,7.2225,1.4366,0.00032961,0.0015592,0.7868,0.7871
8,5.9867,0.79416,0.0010536,0.0028941,0.7861,0.7871
9,5.9867,0.73994,0.0026655,0.003571,0.7851,0.7878
10,6.6592,0.94394,0.0042987,0.0034927,0.7841,0.7884
11,6.1777,0.94747,0.0053564,0.0030726,0.7830,0.7883
12,5.5838,0.85966,0.0061028,0.0025006,0.7819,0.7880
13,3.3859,0.79975,0.0067885,0.0014841,0.7806,0.7874
14,3.3859,0.76187,0.0075963,0.00021669,0.7791,0.7867
15,2.9795,0.76942,0.0086258,0.0025311,0.7771,0.7858
16,3.6408,0.85025,0.0099295,0.005136,0.7747,0.7847
17,4.1707,0.92408,0.01126,0.0075827,0.7720,0.7833
18,4.431,1.2094,0.012122,0.0093742,0.7694,0.7815
19,4.8055,1.3801,0.011329,0.011273,0.7679,0.7792
20,5.0658,1.537,0.008803,0.01348,0.7674,0.7762
21,5.3904,1.3421,0.0050201,0.016257,0.7679,0.7729
22,5.6507,0.99831,0.0013773,0.019225,0.7693,0.7706
23,6.0164,1.1227,0.0023515,0.021513,0.7717,0.7693
24,6.2767,1.0996,0.005731,0.022846,0.7750,0.7692
25,6.0747,0.6286,0.0081463,0.023419,0.7787,0.7706
26,5.127,0.61018,0.0093696,0.023728,0.7825,0.7731
27,4.4357,0.68212,0.0095868,0.02457,0.7859,0.7763
28,4.902,0.588,0.0087896,0.02565,0.7884,0.7796
29,4.902,0.599,0.0071677,0.026897,0.7900,0.7828
30,5.2056,0.5993,0.0050899,0.028452,0.7907,0.7856
31,5.2056,0.58796,0.0029033,0.030495,0.7906,0.7877
32,5.2751,0.57369,0.00085145,0.032999,0.7898,0.7890
33,5.2751,0.62467,0.00090098,0.035871,0.7886,0.7895
34,5.2526,0.70496,0.0023406,0.038974,0.7869,0.7892
35,4.701,0.80281,0.0036072,0.042186,0.7848,0.7885
36,3.4532,0.87061,0.0048372,0.045409,0.7824,0.7873
37,3.93,0.94808,0.0061261,0.048516,0.7796,0.7858
38,4.2376,1.047,0.0074792,0.051305,0.7763,0.7838
39,4.562,1.1479,0.0084311,0.053703,0.7728,0.7812
40,4.8697,1.5677,0.0080121,0.056103,0.7699,0.7779
41,5.0015,1.7543,0.0062558,0.058849,0.7674,0.7737
42,5.3091,1.5637,0.0024995,0.062299,0.7666,0.7691
43,5.2644,1.2844,0.0011746,0.065896,0.7676,0.7664
44,5.0542,1.7875,0.0045517,0.06866,0.7701,0.7656
45,4.5021,1.2102,0.0072814,0.070582,0.7737,0.7664
46,4.0987,0.5922,0.0091822,0.07178,0.7778,0.7687
47,4.8572,0.78292,0.010206,0.072782,0.7820,0.7718
48,4.8572,0.87591,0.010116,0.073939,0.7857,0.7756
49,5.3536,0.73524,0.008752,0.075375,0.7884,0.7796
50,5.3536,0.75912,0.0065504,0.07735,0.7900,0.7835
51,5.6636,0.77235,0.0040557,0.079916,0.7907,0.7866
52,5.6636,0.76949,0.0016629,0.0831,0.7906,0.7889
53,5.6445,0.76238,0.0005402,0.086764,0.7897,0.7903
54,4.8686,0.72044,0.0024313,0.090778,0.7883,0.7908
55,4.1424,0.708,0.0040042,0.094986,0.7865,0.7905
56,3.8577,0.72565,0.0053965,0.099241,0.7841,0.7895
57,3.9901,0.75997,0.0068086,0.10341,0.7813,0.7881
58,4.2412,0.91994,0.0082551,0.10736,0.7781,0.7864
59,4.5737,1.0347,0.0098131,0.11087,0.7743,0.7841
60,4.8717,1.1168,0.010871,0.11388,0.7704,0.7812
61,5.2041,1.6235,0.010731,0.1168,0.7669,0.7776
62,5.3124,1.9162,0.0085046,0.12027,0.7646,0.7731
63,5.6448,1.6004,0.0038457,0.12448,0.7643,0.7681
64,5.5273,1.6074,0.00061059,0.12838,0.7658,0.7652
65,5.2039,2.1391,0.0045713,0.13124,0.7688,0.7643
66,5.671,0.8339,0.0084955,0.13337,0.7730,0.7645
67,4.4918,0.64637,0.011171,0.13446,0.7778,0.7666
68,5.2815,0.81665,0.012627,0.13494,0.7826,0.7699
69,5.2815,1.0107,0.01267,0.13592,0.7867,0.7741
70,5.876,0.79407,0.011263,0.13747,0.7898,0.7785
71,5.876,0.76852,0.0088589,0.13957,0.7916,0.7827
72,6.1726,0.73225,0.0059974,0.14218,0.7922,0.7862
73,6.1726,0.64693,0.0030599,0.14538,0.7917,0.7887
74,6.2017,0.64993,0.00035924,0.14897,0.7905,0.7902
75,4.8978,0.65489,0.0019294,0.15279,0.7887,0.7906
76,4.4034,0.6913,0.0038635,0.15668,0.7864,0.7902
77,4.4034,0.7862,0.0056021,0.16055,0.7835,0.7891
78,4.7655,0.87482,0.0072843,0.16425,0.7803,0.7876
79,4.8216,0.89772,0.0090333,0.16757,0.7766,0.7857
80,5.1091,1.0152,0.010939,0.17025,0.7723,0.7833
81,5.5348,1.1324,0.012296,0.17244,0.7680,0.7803
82,5.8223,1.6713,0.012323,0.17441,0.7642,0.7766
83,5.9895,1.761,0.010386,0.17682,0.7615,0.7719
84,6.277,1.4921,0.0055263,0.18011,0.7609,0.7665
85,6.1757,1.7272,0.0010678,0.18305,0.7622,0.7633
86,5.9723,2.4604,0.0026349,0.18507,0.7650,0.7624
87,5.3282,1.6681,0.0059842,0.18642,0.7692,0.7632
88,4.4902,0.62468,0.0087693,0.18713,0.7743,0.7655
89,5.2209,0.776,0.0107,0.18714,0.7798,0.7691
90,5.2209,1.0249,0.011647,0.18741,0.7849,0.7733
91,6.0248,0.79484,0.011152,0.18814,0.7890,0.7778
92,6.0248,0.81516,0.009369,0.1896,0.7916,0.7822
93,6.7317,0.76914,0.0067948,0.19185,0.7928,0.7860
94,6.7317,0.67342,0.0039046,0.19498,0.7927,0.7888
95,6.7884,0.72126,0.0010856,0.19868,0.7917,0.7906
96,5.6417,0.78596,0.0013786,0.20274,0.7900,0.7914
97,4.5773,0.71441,0.0035006,0.20699,0.7878,0.7913
98,5.0054,0.76325,0.0053769,0.21134,0.7851,0.7904
99,5.0054,0.87187,0.007149,0.21553,0.7819,0.7891
100,5.3861,0.89268,0.0090044,0.21928,0.7783,0.7873
101,5.4608,0.90767,0.011025,0.22232,0.7740,0.7850
102,5.872,1.0138,0.013026,0.22459,0.7692,0.7822
103,6.0825,1.6903,0.013565,0.22686,0.7652,0.7787
104,6.4831,1.7864,0.012719,0.22931,0.7616,0.7743
105,6.6937,1.4333,0.0086108,0.23287,0.7603,0.7689
106,6.791,1.3923,0.0036985,0.2364,0.7609,0.7646
107,6.6108,2.3575,0.00013912,0.23886,0.7632,0.7630
108,6.0824,1.3929,0.0040882,0.24084,0.7669,0.7628
109,4.8549,0.58206,0.0072538,0.24177,0.7718,0.7645
110,4.7936,0.61811,0.0095706,0.24174,0.7773,0.7677
111,5.1578,0.91227,0.010996,0.24181,0.7827,0.7717
