step,max_d_obs,max_d_action,d_root_z,d_root_x,z_isaac,z_mujoco
96,8.7803,2.4473,0.011241,0.3346,0.7453,0.7566
97,8.5176,2.2978,0.0084264,0.34118,0.7498,0.7582
98,7.6447,1.7864,0.0031943,0.34764,0.7556,0.7588
99,5.8446,1.808,0.0040517,0.35484,0.7626,0.7585
100,10.147,1.9626,0.013181,0.36282,0.7699,0.7567
101,12.422,3.0584,0.023179,0.37106,0.7765,0.7533
102,14.288,3.4977,0.03346,0.37939,0.7818,0.7483
103,16.019,2.1097,0.042848,0.38774,0.7853,0.7425
104,16.799,2.2337,0.051313,0.39616,0.7874,0.7360
105,17.193,2.1849,0.059235,0.40444,0.7879,0.7287
106,16.877,2.433,0.066839,0.41265,0.7870,0.7202
107,12.974,3.2917,0.073278,0.42016,0.7843,0.7111
108,9.265,3.7684,0.073841,0.42468,0.7792,0.7054
109,7.899,2.8068,0.067063,0.42763,0.7713,0.7042
110,9.0689,1.5944,0.055474,0.4309,0.7614,0.7059
111,14.407,1.5189,0.045137,0.43785,0.7549,0.7098
112,10.794,1.1995,0.035582,0.44498,0.7504,0.7148
113,10.518,1.375,0.026492,0.45136,0.7474,0.7209
114,11.84,1.15,0.017866,0.45788,0.7456,0.7278
115,13.026,1.5074,0.010493,0.46543,0.7450,0.7345
116,13.026,1.9236,0.0050642,0.47444,0.7455,0.7404
117,10.967,2.1744,0.0022287,0.48458,0.7470,0.7448
118,10.967,2.0248,0.0022889,0.49478,0.7499,0.7476
119,9.0899,1.3495,0.0055369,0.5045,0.7545,0.7489
120,7.8131,1.8131,0.011356,0.51415,0.7608,0.7495
121,11.768,2.1033,0.019028,0.52445,0.7682,0.7492
122,13.489,3.108,0.027873,0.53493,0.7751,0.7473
123,15.226,3.202,0.036721,0.54481,0.7809,0.7442
124,16.526,1.9129,0.044252,0.55341,0.7850,0.7407
125,17.524,1.9954,0.050684,0.56177,0.7875,0.7368
126,18.142,2.0203,0.056857,0.57051,0.7886,0.7317
127,17.187,2.565,0.063127,0.5796,0.7884,0.7252
128,12.994,3.434,0.069128,0.58874,0.7864,0.7172
129,10.389,3.9395,0.072393,0.59609,0.7818,0.7094
130,9.3959,3.5067,0.068219,0.60022,0.7740,0.7058
131,9.4704,1.8166,0.05804,0.60447,0.7644,0.7063
132,10.06,1.6568,0.049509,0.61342,0.7582,0.7087
133,10.705,1.192,0.041475,0.62216,0.7541,0.7126
134,9.7531,1.3322,0.033719,0.62979,0.7512,0.7175
135,10.873,1.5273,0.025966,0.63749,0.7496,0.7236
136,12.149,2.0062,0.019242,0.64636,0.7493,0.7301
137,12.149,2.477,0.014227,0.65624,0.7500,0.7358
