step,joint,dq,ddq,dctrl,tau_isaac,tau_mujoco,sat_isaac,sat_mujoco
0,left_hip_pitch_joint,0.0008869990706443787,0.04715197533369064,-4.470348358154297e-08,-1.708243489265442,-1.5252351611852646,False,False
0,left_hip_roll_joint,0.00016045104712247849,-0.01593109965324402,-0.015611350536346436,-12.192220568656921,-10.64690214395523,False,False
0,left_hip_yaw_joint,-0.0018723979592323303,-0.06630587577819824,-0.11552686989307404,-9.380379602313042,1.8524554669857025,False,False
0,left_knee_joint,-0.0005732178688049316,-0.09105342626571655,-0.35156387090682983,-53.56040298938751,-1.276018738746643,False,False
0,left_ankle_pitch_joint,0.00867655873298645,0.0868539810180664,0.6032872200012207,24.56254529953003,0.951826810836792,False,False
0,left_ankle_roll_joint,0.0023216530680656433,0.03582906723022461,0.08653619885444641,3.557174399495125,0.26025062799453735,False,False
0,right_hip_pitch_joint,0.0007943734526634216,0.04168084263801575,0.2141042798757553,20.16911008954048,-1.078518122434616,False,False
0,right_hip_roll_joint,-0.00024596042931079865,0.012336879968643188,-0.20322608947753906,-9.534477412700653,10.788208693265915,False,False
0,right_hip_yaw_joint,0.0020324289798736572,0.07925176620483398,0.20310837030410767,18.172502517700195,-1.7765888273715973,False,False
0,right_knee_joint,-0.0005419552326202393,-0.08064299821853638,0.0028238296508789062,-0.19042938947677612,-1.0178691148757935,False,False
0,right_ankle_pitch_joint,0.00838083028793335,0.0780038833618164,0.7652122974395752,25.0,0.9288463592529297,True,False
0,right_ankle_roll_joint,-0.002301786094903946,-0.03465402126312256,0.42649900913238525,16.962697505950928,-0.2586423456668854,False,False
0,waist_yaw_joint,0.00016038445755839348,0.003468826413154602,0.518975555896759,88.0,0.14251413755118847,True,False
0,waist_roll_joint,-4.7318346332758665e-05,-0.002518078312277794,-0.5123270750045776,-20.62553525902331,-0.1469353772699833,False,False
0,waist_pitch_joint,-0.002649482572451234,-0.12642520666122437,-0.5942080616950989,-20.004751328378916,3.0254650861024857,False,False
0,left_shoulder_pitch_joint,-0.01357269287109375,-0.2053537368774414,-0.36117491126060486,-10.897120952606201,2.8016140460968018,False,False
0,left_shoulder_roll_joint,0.002524331212043762,0.039402544498443604,-0.3131076395511627,-15.320858418941498,-2.656177043914795,False,False
0,left_shoulder_yaw_joint,-0.006061676889657974,-0.07016468048095703,-0.11011752486228943,-5.081323683261871,-0.9892542213201523,False,False
0,left_elbow_joint,0.04266232252120972,1.0183486938476562,-0.5782357454299927,-23.68475914001465,2.1695098876953125,False,False
0,left_wrist_roll_joint,0.004110470414161682,0.021560370922088623,-0.09853237867355347,-3.9131560921669006,0.21411854028701782,False,False
0,left_wrist_pitch_joint,-0.0009424500167369843,0.33459073305130005,-0.038449276238679886,-2.365238606929779,-0.5303748250007629,False,False
0,left_wrist_yaw_joint,-0.0021386074367910624,0.011216580867767334,0.6542299389839172,5.0,-0.09703269600868225,True,False
0,right_shoulder_pitch_joint,-0.013672351837158203,-0.20778536796569824,0.14587217569351196,9.441973686218262,2.852407217025757,False,False
0,right_shoulder_roll_joint,-0.0018504559993743896,-0.02534562349319458,0.28173521161079407,13.97904258966446,2.610270857810974,False,False
0,right_shoulder_yaw_joint,0.0040244292467832565,0.055381059646606445,-0.11463751643896103,-3.9334670305252075,0.8683919310569763,False,False
0,right_elbow_joint,0.043367087841033936,1.0403923988342285,-0.6284329295158386,-25.0,2.1614699363708496,True,False
0,right_wrist_roll_joint,-0.004100039601325989,-0.01757204532623291,0.15337714552879333,6.103840410709381,-0.21281933784484863,False,False
0,right_wrist_pitch_joint,-0.0008531399071216583,0.3457004427909851,-0.020610515028238297,-1.6841975077986717,-0.5482020229101181,False,False
0,right_wrist_yaw_joint,0.002755424939095974,-0.010196179151535034,3.725290298461914e-08,0.0342213436961174,0.13424067199230194,False,False
1,left_hip_pitch_joint,-0.00519765168428421,-0.42569008469581604,-0.008838437497615814,-0.23138147592544556,-0.7186830639839172,False,False
1,left_hip_roll_joint,0.0023660780861973763,-0.27005189657211304,0.004185117781162262,-9.045447677373886,-9.76745593547821,False,False
1,left_hip_yaw_joint,-0.015749797224998474,-1.6539850234985352,-0.11764217913150787,-4.771735340356827,2.109532803297043,False,False
1,left_knee_joint,0.0052525997161865234,1.2160019874572754,-0.32624179124832153,-53.91197341680527,0.6761931777000427,False,False
1,left_ankle_pitch_joint,0.034127265214920044,2.3469722270965576,0.39717036485671997,6.9334845542907715,-2.8942950963974,False,False
1,left_ankle_roll_joint,0.02309558354318142,2.331164598464966,0.05654428154230118,-4.39994715154171,-1.075565665960312,False,False
1,right_hip_pitch_joint,-0.008346714079380035,-0.5340014100074768,0.16726024448871613,19.605182707309723,0.9764840006828308,False,False
1,right_hip_roll_joint,0.007366742007434368,0.32022470235824585,-0.10521022975444794,-6.292688190937042,5.605458483099937,False,False
1,right_hip_yaw_joint,0.013849172741174698,1.8982057571411133,0.10678096860647202,5.064448922872543,-0.43231940269470215,False,False
1,right_knee_joint,0.007704257965087891,2.185976505279541,0.05596539378166199,-2.44894278049469,-0.9442068934440613,False,False
1,right_ankle_pitch_joint,0.05235925316810608,1.373191475868225,0.627532958984375,15.69751262664795,-4.563053786754608,False,False
1,right_ankle_roll_joint,-0.03908214718103409,-0.6529331207275391,0.5715517997741699,25.0,1.1711277663707733,True,False
1,waist_yaw_joint,-0.0006485432386398315,-0.1956988275051117,0.5679090619087219,88.0,1.5299789234995842,True,False
1,waist_roll_joint,0.004558296874165535,-0.0947396531701088,-0.32497596740722656,-12.815075889229774,-0.10740422643721104,False,False
1,waist_pitch_joint,-0.005050819832831621,0.11645171791315079,-0.441897451877594,-15.26097621768713,2.7951473742723465,False,False
1,left_shoulder_pitch_joint,-0.012913227081298828,0.49396848678588867,-0.5668870210647583,-17.624603748321533,5.028316497802734,False,False
1,left_shoulder_roll_joint,-0.002299562096595764,-0.3086683750152588,-0.25017261505126953,-12.467993140220642,-2.861739993095398,False,False
1,left_shoulder_yaw_joint,0.008325323462486267,0.974278450012207,-0.07994090020656586,-5.808122515678406,-1.30319482088089,False,False
1,left_elbow_joint,0.038192570209503174,-1.4327373504638672,-0.4675084352493286,-13.887892246246338,4.907410621643066,False,False
1,left_wrist_roll_joint,0.004525229334831238,-0.2573908567428589,-0.035153549164533615,-0.9204880893230438,0.4092721939086914,False,False
1,left_wrist_pitch_joint,0.015076635405421257,0.6158149242401123,-0.03126788139343262,-2.0388708412647247,0.43072475492954254,False,False
1,left_wrist_yaw_joint,0.0005559474229812622,0.2378975749015808,0.5280130505561829,5.0,-0.11852873861789703,True,False
1,right_shoulder_pitch_joint,-0.015049725770950317,0.10264468193054199,-0.09226715564727783,-0.32717370986938477,2.864168167114258,False,False
1,right_shoulder_roll_joint,4.525482654571533e-05,0.30197829008102417,0.21780382096767426,11.12580692768097,2.717442572116852,False,False
1,right_shoulder_yaw_joint,-0.009607616811990738,-0.7162288427352905,-0.10853609442710876,-2.2744543254375458,0.9664557576179504,False,False
1,right_elbow_joint,0.04050946235656738,-1.1320905685424805,-0.5162250995635986,-16.931710720062256,4.205581188201904,False,False
1,right_wrist_roll_joint,-0.004181072115898132,0.248346209526062,0.12547525763511658,4.554249048233032,-0.38365793228149414,False,False
1,right_wrist_pitch_joint,0.013295894488692284,0.5286741852760315,-0.012492813169956207,-1.2981472313404083,0.2620752453804016,False,False
1,right_wrist_yaw_joint,-0.0010668318718671799,-0.2849617600440979,-0.005605030804872513,0.2400868833065033,0.1366530805826187,False,False
2,left_hip_pitch_joint,-0.001726686954498291,0.5978437662124634,0.022613704204559326,-0.1382179856300354,-1.3765695840120316,False,False
2,left_hip_roll_joint,0.005305365193635225,0.44340401887893677,-0.06871397793292999,-11.083510935306549,-2.7947688326239586,False,False
2,left_hip_yaw_joint,-0.015015535056591034,0.8989841938018799,-0.09097710996866226,-8.361953228712082,1.0321727097034454,False,False
2,left_knee_joint,0.008145630359649658,-0.5075832605361938,-0.24668660759925842,-44.77334678173065,-8.578842014074326,False,False
2,left_ankle_pitch_joint,0.03549671173095703,-1.270597219467163,0.3555644750595093,6.11808717250824,-9.225817203521729,False,False
2,left_ankle_roll_joint,0.039423584938049316,-0.502204179763794,-0.0069841742515563965,-2.571356415748596,-1.7194542735815048,False,False
2,right_hip_pitch_joint,-0.0036844611167907715,0.7063310742378235,0.13841035962104797,14.079814195632935,1.282995730638504,False,False
2,right_hip_roll_joint,0.00885067693889141,-0.21627403795719147,0.02048565447330475,-2.5353615805506706,-4.131407409906387,False,False
2,right_hip_yaw_joint,0.0192667655646801,-0.5451577305793762,0.058959878981113434,6.949750930070877,1.8901237845420837,False,False
2,right_knee_joint,0.012930423021316528,-0.705456018447876,0.044728100299835205,-4.057276278734207,-11.648751825094223,False,False
2,right_ankle_pitch_joint,0.04460741579532623,-1.6979697942733765,0.586132287979126,11.83229374885559,-13.224638938903809,False,False
2,right_ankle_roll_joint,-0.05985531583428383,-0.3698972165584564,0.7376364469528198,25.0,2.1940747499465942,True,False
2,waist_yaw_joint,-0.006066584028303623,-0.2392151951789856,0.6958869099617004,88.0,1.3766013458371162,True,False
2,waist_roll_joint,0.002327089197933674,-0.14750999212265015,-0.4077167809009552,-17.45961170643568,-1.795407310128212,False,False
2,waist_pitch_joint,-0.004923860542476177,-0.17505748569965363,-0.5624704360961914,-19.826862663030624,1.5997137688100338,False,False
2,left_shoulder_pitch_joint,0.018997251987457275,2.1332502365112305,-0.6141693592071533,-24.24359130859375,3.2163233757019043,False,False
