2.320198342204093933e-03,-3.179819136857986450e-02,9.120011329650878906e-01,-1.240649819374084473e-02,1.333951391279697418e-02,6.809217333793640137e-01,7.321296334266662598e-01,-1.921147666871547699e-02,2.585821747779846191e-01,-7.658298611640930176e-01,-4.766843020915985107e-01,5.949396640062332153e-02,1.624940708279609680e-02,2.132345177233219147e-02,7.575500290840864182e-03,-2.725950777530670166e-01,5.565798282623291016e-01,-5.104985237121582031e-01,-1.652976274490356445e-01,1.991200000047683716e-01,-5.135328695178031921e-02,7.034957525320351124e-05,-8.595018833875656128e-02,-1.194328255951404572e-02,5.721851810812950134e-02,2.879951298236846924e-01,-3.710510134696960449e-01,6.898406147956848145e-02,-6.912353634834289551e-02,-7.120052725076675415e-02,-2.523494511842727661e-02,2.987987995147705078e-01,-4.128129482269287109e-01,-3.960533440113067627e-02
2.821143716573715210e-03,-3.406287729740142822e-02,9.119466543197631836e-01,-1.292758993804454803e-02,1.391404867172241211e-02,6.805375814437866211e-01,7.324669957160949707e-01,-1.857672631740570068e-02,2.604066431522369385e-01,-7.578330039978027344e-01,-4.826188087463378906e-01,6.523302197456359863e-02,1.847760193049907684e-02,2.292042411863803864e-02,6.543755065649747849e-03,-2.749420106410980225e-01,5.443252325057983398e-01,-5.199018716812133789e-01,-1.678972989320755005e-01,2.015868276357650757e-01,-5.309778824448585510e-02,-2.824499504640698433e-03,-9.778006374835968018e-02,-8.720055222511291504e-03,6.676235795021057129e-02,3.020064234733581543e-01,-3.707856535911560059e-01,6.506128609180450439e-02,-8.110880106687545776e-02,-6.993593275547027588e-02,-2.084237709641456604e-02,3.100236058235168457e-01,-4.125328063964843750e-01,-4.071475192904472351e-02
3.613718552514910698e-03,-3.707762062549591064e-02,9.120836853981018066e-01,-1.411033794283866882e-02,1.520842313766479492e-02,6.800000071525573730e-01,7.329185009002685547e-01,-1.716983690857887268e-02,2.623368203639984131e-01,-7.445755004882812500e-01,-4.883826971054077148e-01,7.245378196239471436e-02,1.757279224693775177e-02,2.611988596618175507e-02,4.145404323935508728e-03,-2.801721990108489990e-01,5.296712517738342285e-01,-5.318046212196350098e-01,-1.677766144275665283e-01,2.002411931753158569e-01,-5.340426787734031677e-02,-3.068323014304041862e-03,-1.129918918013572693e-01,-5.694063846021890640e-03,7.289484888315200806e-02,3.145544528961181641e-01,-3.681469261646270752e-01,6.159713119268417358e-02,-9.819199889898300171e-02,-6.899326294660568237e-02,-1.943532563745975494e-02,3.250827789306640625e-01,-4.122448861598968506e-01,-4.194793477654457092e-02
4.769075196236371994e-03,-4.094773903489112854e-02,9.124146103858947754e-01,-1.557247526943683624e-02,1.682029850780963898e-02,6.791854500770568848e-01,7.336086630821228027e-01,-1.344778202474117279e-02,2.651527523994445801e-01,-7.275596261024475098e-01,-4.968945682048797607e-01,7.944715768098831177e-02,1.491694897413253784e-02,3.184625133872032166e-02,2.038449048995971680e-03,-2.899050414562225342e-01,5.159694552421569824e-01,-5.552772879600524902e-01,-1.652999967336654663e-01,1.994716525077819824e-01,-5.470399558544158936e-02,-2.822935581207275391e-03,-1.287376433610916138e-01,-3.179191611707210541e-03,7.668452709913253784e-02,3.234607875347137451e-01,-3.627457618713378906e-01,5.735235288739204407e-02,-1.169891729950904846e-01,-6.830406934022903442e-02,-1.795496977865695953e-02,3.389378786087036133e-01,-4.105868637561798096e-01,-4.418021067976951599e-02
6.302428897470235825e-03,-4.584173858165740967e-02,9.128894805908203125e-01,-1.737874746322631836e-02,1.879979856312274933e-02,6.785865426063537598e-01,7.340741753578186035e-01,-8.361674845218658447e-03,2.698935866355895996e-01,-7.098994851112365723e-01,-5.100896954536437988e-01,8.758438378572463989e-02,1.284352876245975494e-02,3.843566402792930603e-02,-1.616543158888816833e-04,-3.042741715908050537e-01,5.035980939865112305e-01,-5.915499329566955566e-01,-1.687854230403900146e-01,1.996396332979202271e-01,-5.547141656279563904e-02,-4.493443295359611511e-03,-1.465947031974792480e-01,-3.982624912168830633e-04,7.906960695981979370e-02,3.314395844936370850e-01,-3.564170598983764648e-01,5.314373597502708435e-02,-1.394168734550476074e-01,-6.676696240901947021e-02,-1.435623224824666977e-02,3.533035814762115479e-01,-4.059515595436096191e-01,-4.865331202745437622e-02
7.987951859831809998e-03,-5.198362097144126892e-02,9.132937788963317871e-01,-1.978787407279014587e-02,2.142919041216373444e-02,6.781225204467773438e-01,7.343698143959045410e-01,-2.392003079876303673e-03,2.759419977664947510e-01,-6.935713887214660645e-01,-5.267513394355773926e-01,9.688427299261093140e-02,7.483858615159988403e-03,4.398906975984573364e-02,-6.221717689186334610e-03,-3.244382143020629883e-01,5.002508759498596191e-01,-6.381397843360900879e-01,-1.749202311038970947e-01,1.984187215566635132e-01,-5.547305196523666382e-02,-8.974688127636909485e-03,-1.687291413545608521e-01,2.029465278610587120e-03,8.138779550790786743e-02,3.403689265251159668e-01,-3.487631976604461670e-01,4.890921711921691895e-02,-1.684669256210327148e-01,-6.550318747758865356e-02,-8.411177434027194977e-03,3.716447949409484863e-01,-4.014987945556640625e-01,-5.183748155832290649e-02
1.038752030581235886e-02,-5.959943309426307678e-02,9.132727384567260742e-01,-2.270595356822013855e-02,2.459157630801200867e-02,6.779974102973937988e-01,7.343018651008605957e-01,4.698018543422222137e-03,2.829830944538116455e-01,-6.772423386573791504e-01,-5.436840057373046875e-01,1.049844771623611450e-01,-1.696171937510371208e-03,5.080208927392959595e-02,-1.841238513588905334e-02,-3.475636541843414307e-01,5.052622556686401367e-01,-6.881428360939025879e-01,-1.729582548141479492e-01,1.953992098569869995e-01,-5.351507663726806641e-02,-1.387319900095462799e-02,-1.983470171689987183e-01,6.766771897673606873e-03,8.254720270633697510e-02,3.565095663070678711e-01,-3.416092693805694580e-01,4.309175908565521240e-02,-2.049019932746887207e-01,-6.201217323541641235e-02,-1.370531972497701645e-03,3.965655565261840820e-01,-3.963731825351715088e-01,-5.787814408540725708e-02
1.317256968468427658e-02,-6.853447109460830688e-02,9.129461050033569336e-01,-2.637023478746414185e-02,2.848576195538043976e-02,6.788201332092285156e-01,7.332778573036193848e-01,7.482558954507112503e-03,2.900574803352355957e-01,-6.636238694190979004e-01,-5.552896261215209961e-01,1.151426956057548523e-01,-1.025052368640899658e-02,5.737788230180740356e-02,-3.810963407158851624e-02,-3.731047809123992920e-01,5.156517624855041504e-01,-7.340117692947387695e-01,-1.684563010931015015e-01,1.919489204883575439e-01,-4.924410954117774963e-02,-1.963648200035095215e-02,-2.360014170408248901e-01,1.142294891178607941e-02,8.344688266515731812e-02,3.781356811523437500e-01,-3.356315195560455322e-01,3.723441064357757568e-02,-2.473984211683273315e-01,-5.881926417350769043e-02,3.532658331096172333e-03,4.246948063373565674e-01,-3.902983367443084717e-01,-6.414640694856643677e-02
1.688420400023460388e-02,-7.903565466403961182e-02,9.122118353843688965e-01,-3.058318234980106354e-02,3.278787434101104736e-02,6.814077496528625488e-01,7.305293679237365723e-01,5.373246502131223679e-03,2.961188256740570068e-01,-6.514113545417785645e-01,-5.597020387649536133e-01,1.239431053400039673e-01,-1.620775461196899414e-02,6.296958774328231812e-02,-6.277626007795333862e-02,-3.984812796115875244e-01,5.262108445167541504e-01,-7.717983126640319824e-01,-1.632503122091293335e-01,1.895165890455245972e-01,-4.876821488142013550e-02,-2.479144930839538574e-02,-2.810771763324737549e-01,1.773202233016490936e-02,8.163075894117355347e-02,4.035778343677520752e-01,-3.254364728927612305e-01,2.965959161520004272e-02,-2.932993173599243164e-01,-5.451859906315803528e-02,3.448490286245942116e-03,4.532814919948577881e-01,-3.821240961551666260e-01,-7.252338528633117676e-02
2.155650593340396881e-02,-9.124747663736343384e-02,9.112637639045715332e-01,-3.561934828758239746e-02,3.759276866912841797e-02,6.868740916252136230e-01,7.249290347099304199e-01,-4.628368187695741653e-03,3.005745112895965576e-01,-6.428849697113037109e-01,-5.560213923454284668e-01,1.265428364276885986e-01,-2.065776661038398743e-02,7.092318683862686157e-02,-8.851641416549682617e-02,-4.227212667465209961e-01,5.311194658279418945e-01,-7.994195818901062012e-01,-1.668556630611419678e-01,1.864282935857772827e-01,-5.440435931086540222e-02,-2.966158278286457062e-02,-3.332285881042480469e-01,2.474136278033256531e-02,7.552298903465270996e-02,4.284274280071258545e-01,-3.098875582218170166e-01,2.041703090071678162e-02,-3.432574570178985596e-01,-5.012610927224159241e-02,-4.995214752852916718e-03,4.821634292602539062e-01,-3.713288903236389160e-01,-8.406023681163787842e-02
